"","logFC","logCPM","PValue","FDR"
"YGR234W",3.98635031381614,8.23528067994981,1.46194297880487e-202,8.65031660558839e-199
"YER081W",-3.44220466893156,9.20077310337663,9.6796154756385e-199,2.86371423846765e-195
"YML123C",4.33629908973899,9.0711331721144,1.06841197890437e-163,2.10726455972573e-160
"YHR215W",4.68457318620605,7.69376502415844,1.87578110048325e-159,2.77474919288984e-156
"YER011W",3.7527064564513,7.27975676767757,1.25291949367362e-152,1.48270492881336e-149
"YOR290C",7.70806095111586,6.2513244696356,5.11832454125661e-145,5.04752105176923e-142
"YDR033W",3.35333709857765,8.69051760637816,1.394966822495e-121,1.17914552695756e-118
"YAR009C",2.7877851234879,9.08177156495523,5.40575761254299e-120,3.99823347417711e-117
"YDR077W",3.08616727379179,11.38934289622,2.28905910273539e-107,1.50492919009837e-104
"YER138C",2.33911363361863,9.89560211700091,7.0427059871317e-106,4.16716913258583e-103
"YDR365W-B",1.94365551668047,10.1540811929523,1.08819755405138e-91,5.85351357029273e-89
"YFR015C",2.64407852972267,9.23771642458984,3.8713084279487e-86,1.90887766401437e-83
"YIL169C",2.7450879843963,7.57574515999594,2.16865713089386e-80,9.87072634115304e-78
"YHR136C",4.09725803571555,5.42341989567641,3.1545299446755e-79,1.33323954876035e-76
"YER067W",1.99812706453552,8.81126103680394,2.53936742448415e-74,1.00169580337818e-71
"YBR067C",2.50292595375024,8.64447966822268,2.38917408002912e-72,8.83546439470768e-70
"YIL121W",2.55490807785809,6.49901174420965,6.79857923088736e-71,2.36630548877415e-68
"YBR092C",2.62761881218091,6.96010404987276,2.12607035752632e-69,6.98886572526846e-67
"YPR149W",1.79176441214547,8.21451100556552,5.32357728865302e-67,1.65787404299789e-64
"YOR153W",2.44977927748236,9.64350272461393,3.06914870766791e-57,9.08007645163552e-55
"YOL109W",2.38976485466169,8.25732344070995,4.42528290218344e-56,1.2468761396295e-53
"YHR092C",1.94774817460659,9.79573531455904,1.15022284736748e-53,3.09357663085154e-51
"YPL019C",2.00285595759703,7.7824699445761,6.9422011067165e-51,1.7859566934105e-48
"YKL062W",1.75493075561894,7.02681843750798,7.95374305616089e-49,1.96092906930433e-46
"YBR093C",1.63424822605331,7.0167019539102,2.41910575207739e-48,5.72553949401677e-46
"YDR342C",2.7813178382752,10.8783423507585,1.0681079297374e-46,2.43076716163701e-44
"YJR029W",2.82297489414636,9.12360863093077,5.37641751531076e-45,1.17823194215162e-42
"YDR406W",1.46682236213989,7.34990385118518,1.23829111043109e-42,2.61677446443599e-40
"YHL047C",1.53397178094055,7.57016503170996,2.96925211109769e-40,6.0582981866776e-38
"YJL077C",-2.24483605405967,5.69158082913655,1.25016245972761e-39,2.46573709140276e-37
"YEL040W",1.26983382804887,8.8353215415404,2.54686472733142e-39,4.86122535213549e-37
"YKR039W",-2.03291156473413,7.09480968164825,2.61644514296122e-38,4.83797059715674e-36
"YOR348C",-2.58787360982319,5.21422160382072,6.37843165947273e-38,1.14367212512425e-35
"YLR413W",2.21778958506453,8.13867755998531,7.99701409133336e-37,1.39171565818881e-34
"YFR055W",1.63809600384281,6.8987340836258,9.40075944843096e-37,1.58926553303903e-34
"YBL005W-A",-8.3471041769345,4.24020983416076,2.01142167276406e-36,3.30599501048471e-34
"YMR056C",-1.98534723411396,6.07131249329592,2.02834096873635e-35,3.2437009491927e-33
"YJL012C",1.2405750743264,8.12417941323526,4.4737203287996e-35,6.96605346987033e-33
"YLR350W",-1.0850077353315,8.89131968994387,7.70152444323547e-35,1.16845949052883e-32
"YDL039C",2.75623330640689,7.13270130223048,2.32453481767749e-34,3.43856812904942e-32
"YDR055W",1.53908112894328,7.39291600113804,9.26446851509406e-33,1.33702098058077e-30
"YOL155C",1.81895718284588,8.03401788293288,1.66309522528121e-32,2.34298439237832e-30
"YJR010W",-1.65774441918834,6.59587709128183,2.72790469133834e-32,3.74364687815721e-30
"YOR273C",1.60536471707087,7.76156058634783,2.78385098257423e-32,3.74364687815721e-30
"YER001W",1.94500608605693,6.10249059114744,2.5595465420865e-31,3.36551930878352e-29
"R0030W",-1.11136815933087,9.14119814392028,1.10002181337987e-30,1.41496284125406e-28
"YDL182W",1.206152870664,8.22406558663832,1.20634152505796e-30,1.51870697952509e-28
"YER056C",1.22747506066967,8.1208731341317,1.81901990150432e-30,2.24232099108356e-28
"YHR219W",-1.18278959023174,9.62991776548541,2.17994887526476e-30,2.63239948876358e-28
"YNL160W",2.08952108436059,6.9176113322934,4.07395171584841e-30,4.82111446053501e-28
"YHL050C",-1.90957111596161,6.94178987514106,5.21324479133158e-30,6.04838616280568e-28
